"","0","1"
"EV_0",0.394894209524907,0.415331015113099
"EV_A",0.10871286334741,0.0960404737076641
"EV_B",0.180505675864281,0.186593572626482
"EV_C",0.0711759912308783,0.056420742195173
"EV_AB",0.0731298960326802,0.0674085034053565
"EV_AC",0.0119254085834157,0.0125174857395902
"EV_BC",0.0734575025059446,0.07354263929108
"EV_ABC",0.0861984529104833,0.092145567921555
"SD_0",0.00786002419916027,0.010215801219012
"SD_A",0.00500515040479086,0.00610832116622733
"SD_B",0.00618423881348234,0.00807648449645449
"SD_C",0.00413429368740998,0.00478331315166031
"SD_AB",0.00418624614922136,0.00519784460885498
"SD_AC",0.00174541757808212,0.00230485433520577
"SD_BC",0.00419487087534401,0.00541131166354668
"SD_ABC",0.004512773391362,0.00599605431767475
"post.theta_0",1526.97798133528,965.977981335284
"post.theta_A",420.371189588022,223.371189588022
"post.theta_B",697.979828274528,433.979828274528
"post.theta_C",275.223512494704,131.223512494704
"post.theta_AB",282.778876787247,156.778876787247
"post.theta_AC",46.1132016780155,29.1132016780155
"post.theta_BC",284.045666370765,171.045666370765
"post.theta_ABC",333.312407335191,214.312407335191
"opt.theta_0",32.9779813352842,NA
"opt.theta_A",8.37118958802222,NA
"opt.theta_B",14.9798282745278,NA
"opt.theta_C",5.22351249470354,NA
"opt.theta_AB",5.77887678724727,NA
"opt.theta_AC",1.11320167801547,NA
"opt.theta_BC",6.04566637076517,NA
"opt.theta_ABC",7.31240733519138,NA
"max.spread_0",1.13061534482657,NA
"max.spread_A",1.14027282643106,NA
"max.spread_B",0.426899577944949,NA
"max.spread_C",1.65461982143672,NA
"max.spread_AB",0.609690674869017,NA
"max.spread_AC",0.146182075882872,NA
"max.spread_BC",0.0088627074064731,NA
"max.spread_ABC",0.565916120782689,NA
