"","0","1"
"EV_0",0.4025975304318321,0.40251335658279586
"EV_A",0.1040162772148429,0.103986709600793
"EV_B",0.18272773094320105,0.1828184884858413
"EV_C",0.065668431469514,0.06569424508794106
"EV_AB",0.07098671756033231,0.0709951004804987
"EV_AC",0.012103208834809562,0.012113757635515839
"EV_BC",0.07347352597914028,0.07348380179805243
"EV_ABC",0.08842657756632794,0.0883945403285619
"SD_0",0.0008987965544641814,0.0008972918441922156
"SD_A",0.0005594909317575213,0.0005585031353501265
"SD_B",0.0007082359227325024,0.0007072106542030861
"SD_C",0.0004539637466696311,0.0004533020120926831
"SD_AB",0.0004706432645959383,0.000469896989844945
"SD_AC",0.00020040031029542883,0.00020015773619563366
"SD_BC",0.00047817481265876883,0.0004774212971405149
"SD_ABC",0.0005203308484674994,0.0005193924726286369
"theta0",118833.95223979227,118833.95223979227
"theta_A",30701.143432451434,30701.143432451434
"theta_B",53954.43327731743,53954.43327731743
"theta_C",19389.068920988284,19389.068920988284
"theta_AB",20956.4503963231,20956.4503963231
"theta_AC",3574.4159001396256,3574.4159001396256
"theta_BC",21690.832977441696,21690.832977441696
"theta_ABC",26098.715497217112,26098.715497217112
"post.theta0",119862.95223979227,120231.95223979227
"post.theta_A",30968.143432451434,31061.143432451434
"post.theta_B",54402.43327731743,54608.43327731743
"post.theta_C",19551.068920988284,19623.068920988284
"post.theta_AB",21134.4503963231,21206.4503963231
"post.theta_AC",3603.4159001396256,3618.4159001396256
"post.theta_BC",21874.832977441696,21949.832977441696
"post.theta_ABC",26326.715497217112,26403.715497217112
