"","spread","gene1","gene2"
"1",0,1,2
"2",0,1,3
"3",0,1,4
"4",6.64547813200578e-06,1,5
"5",0,1,6
"6",1.89490400405124e-23,1,7
"7",7.43484265597338e-06,1,8
"8",8.12299471497635e-06,1,9
"9",4.45151666700339e-06,1,10
"10",0,1,11
"11",0,1,12
"12",0,1,13
"13",1.04261355020063e-05,1,14
"14",2.31978546200162e-06,1,15
"15",0,2,3
"16",4.72099501297452e-06,2,4
"17",0,2,5
"18",0,2,6
"19",1.54052797696203e-06,2,7
"20",0.025344214258298,2,8
"21",1.11324577740102e-05,2,9
"22",0,2,10
"23",0,2,11
"24",7.62706364998422e-06,2,12
"25",6.83946297402871e-06,2,13
"26",0,2,14
"27",6.2844394910222e-06,2,15
"28",1.95825418991546e-07,3,4
"29",0,3,5
"30",0,3,6
"31",0,3,7
"32",0,3,8
"33",3.58906260710112e-05,3,9
"34",0,3,10
"35",0,3,11
"36",0,3,12
"37",0,3,13
"38",0,3,14
"39",0,3,15
"40",0,4,5
"41",0,4,6
"42",0,4,7
"43",0,4,8
"44",1.46312235170254e-05,4,9
"45",0,4,10
"46",0,4,11
"47",2.7919493961133e-68,4,12
"48",1.34293690057241e-08,4,13
"49",0,4,14
"50",0,4,15
"51",0,5,6
"52",6.12340231603836e-06,5,7
"53",1.79093645560346e-05,5,8
"54",0.021350997332467,5,9
"55",0,5,10
"56",6.71669524698881e-06,5,11
"57",9.88408903301874e-06,5,12
"58",0,5,13
"59",0,5,14
"60",0,5,15
"61",0,6,7
"62",0,6,8
"63",2.81169905489986e-05,6,9
"64",0,6,10
"65",0,6,11
"66",0,6,12
"67",0.00814279096584197,6,13
"68",0,6,14
"69",0,6,15
"70",0,7,8
"71",1.04757320860127e-05,7,9
"72",0.00266948290538099,7,10
"73",0,7,11
"74",7.96790428703176e-06,7,12
"75",1.99519064039699e-05,7,13
"76",0.001855270529179,7,14
"77",0,7,15
"78",0.011136922403277,8,9
"79",0,8,10
"80",1.31338083849686e-05,8,11
"81",0.00967179971365201,8,12
"82",1.3291642275981e-05,8,13
"83",0,8,14
"84",0,8,15
"85",0.010866969289348,9,10
"86",1.44153232449762e-05,9,11
"87",2.83938370410075e-05,9,12
"88",1.59143826859998e-05,9,13
"89",0.029272106839941,9,14
"90",0.00778733840988699,9,15
"91",0,10,11
"92",1.45301798170072e-05,10,12
"93",0,10,13
"94",0.000556776761334976,10,14
"95",1.84814357939711e-05,10,15
"96",6.58538362802163e-06,11,12
"97",3.41329636799337e-06,11,13
"98",1.11333117480128e-05,11,14
"99",3.4194139419963e-06,11,15
"100",5.95154808802345e-06,12,13
"101",1.83709832660139e-05,12,14
"102",0,12,15
"103",2.99760216648792e-15,13,14
"104",2.78730590802523e-06,13,15
"105",1.92536033369883e-05,14,15
