"","spread","gene1","gene2"
"1",1.46258851502212e-06,1,2
"2",2.67482015370024e-05,1,3
"3",6.29996055323545e-13,1,4
"4",1.2144856759988e-06,1,5
"5",0.00410465035506902,1,6
"6",4.56099047418945e-12,1,7
"7",6.42970057099235e-06,1,8
"8",7.18712109021302e-07,1,9
"9",0,1,10
"10",7.38340497019596e-07,1,11
"11",0.020578548968262,1,12
"12",1.31106324099961e-06,1,13
"13",0.011296007499734,1,14
"14",0,1,15
"15",0,2,3
"16",4.88690823002846e-07,2,4
"17",2.18284110231615e-08,2,5
"18",0.020338065350385,2,6
"19",0,2,7
"20",0.00519593216949601,2,8
"21",0,2,9
"22",5.47594933400508e-06,2,10
"23",3.76353501141402e-09,2,11
"24",0.02703276083119,2,12
"25",2.63108659701028e-06,2,13
"26",0.013633790920788,2,14
"27",1.8993224729924e-06,2,15
"28",0,3,4
"29",6.28684992201589e-06,3,5
"30",0.011393747648517,3,6
"31",3.10940510800384e-06,3,7
"32",6.21543826201387e-06,3,8
"33",4.00010449599919e-06,3,9
"34",8.40266978199833e-06,3,10
"35",5.31950039572848e-11,3,11
"36",0.028981002212184,3,12
"37",7.81409650041365e-08,3,13
"38",0.016356496014784,3,14
"39",3.40115684299702e-06,3,15
"40",0,4,5
"41",0.008648361605299,4,6
"42",5.11300168870576e-11,4,7
"43",0,4,8
"44",7.82368003993117e-07,4,9
"45",9.12729891666686e-11,4,10
"46",8.80119311985617e-07,4,11
"47",0.021846555356317,4,12
"48",0,4,13
"49",0.00698033671841899,4,14
"50",0,4,15
"51",0.006481468229736,5,6
"52",1.41079091098284e-06,5,7
"53",5.09852647989639e-07,5,8
"54",0,5,9
"55",8.93679254801438e-06,5,10
"56",1.62186468799508e-06,5,11
"57",0,5,12
"58",1.73548706400295e-06,5,13
"59",0.011440002877034,5,14
"60",5.57943992299248e-06,5,15
"61",0.016102156756942,6,7
"62",0.008889262539757,6,8
"63",0.00824797414303199,6,9
"64",0.012988934468397,6,10
"65",0.00845141692444701,6,11
"66",0,6,12
"67",0.009712035711439,6,13
"68",0.022691827749078,6,14
"69",0.01362933538001,6,15
"70",4.85576785599906e-06,7,8
"71",8.94463098033427e-09,7,9
"72",0,7,10
"73",9.24680747999007e-07,7,11
"74",0.026648991637219,7,12
"75",1.3945854550057e-06,7,13
"76",0.011848814338905,7,14
"77",3.34877913701903e-06,7,15
"78",4.29371209798024e-06,8,9
"79",1.59991562150019e-05,8,10
"80",4.55688963008072e-07,8,11
"81",0.021103011201015,8,12
"82",3.00681584469997e-05,8,13
"83",0.010790695609391,8,14
"84",1.50801271250056e-05,8,15
"85",0.000186911241482013,9,10
"86",1.03446271701446e-06,9,11
"87",0.024329582241724,9,12
"88",1.51016040500496e-06,9,13
"89",0.00935768191014,9,14
"90",3.77698078099509e-06,9,15
"91",1.50873130149998e-05,10,11
"92",0.022013009484417,10,12
"93",1.04797281819946e-05,10,13
"94",0.020801014563483,10,14
"95",0.00773090363131101,10,15
"96",0.030491250585245,11,12
"97",1.20727286498368e-06,11,13
"98",0.013332190526922,11,14
"99",5.95350063001265e-06,11,15
"100",0,12,13
"101",0.024940698779131,12,14
"102",0.030073153780979,12,15
"103",0.012312776492491,13,14
"104",4.58538583800183e-06,13,15
"105",0.031804214070008,14,15
