"","AA","AB","BA","BB"
"EV_absent",0.5675508216115,0.588573447360897,0.621788574320596,0.588319563124944
"EV_present",0.4324491783885,0.411426552639103,0.378211425679404,0.411680436875056
"SD_absent",0.0111821202032746,0.00901160493201058,0.0218213895549136,0.0174667492645939
"SD_present",0.0111821202032746,0.00901160493201058,0.0218213895549136,0.0174667492645939
"post.theta_absent",1113.46088612709,1754.46088612709,306.460886127093,466.460886127093
"post.theta_present",848.409035874853,1226.40903587485,186.409035874852,326.409035874852
"opt.theta_absent",29.4608861270928,NA,NA,NA
"opt.theta_present",20.4090358748525,NA,NA,NA
"max.spread_absent",2.21201240351252,NA,NA,NA
"max.spread_present",2.21201240351252,NA,NA,NA
