"","AA","AB","BA","BB"
"EV_absent",0.570517117863412,0.602223506474304,0.592209373952325,0.609486302953463
"EV_present",0.429482882136588,0.397776493525696,0.407790626047675,0.390513697046537
"SD_absent",0.00851521235727382,0.0110013329386918,0.021142128436908,0.0257386899580153
"SD_present",0.00851521235727382,0.0110013329386918,0.021142128436908,0.0257386899580153
"post.theta_absent",1927.36387972551,1191.36387972551,319.363879725513,218.363879725513
"post.theta_present",1450.91140663836,786.911406638365,219.911406638365,139.911406638365
"opt.theta_absent",33.3638797255133,NA,NA,NA
"opt.theta_present",22.911406638365,NA,NA,NA
"max.spread_absent",2.27910044267121,NA,NA,NA
"max.spread_present",2.27910044267122,NA,NA,NA
