"","AA","AB","BA","BB"
"EV_absent",0.71487758151157,0.730631208094225,0.735839739688877,0.695929631868006
"EV_present",0.28512241848843,0.269368791905775,0.264160260311123,0.304070368131994
"SD_absent",0.0105685207283785,0.0123907852783204,0.0088587563721605,0.017326534149228
"SD_present",0.0105685207283785,0.0123907852783204,0.0088587563721605,0.017326534149228
"post.theta_absent",1303.8519009854,935.851900985396,1821.8519009854,489.851900985396
"post.theta_present",520.029466546752,345.029466546752,654.029466546752,214.029466546752
"opt.theta_absent",45.8519009853958,NA,NA,NA
"opt.theta_present",18.0294665467515,NA,NA,NA
"max.spread_absent",2.0508933436073,NA,NA,NA
"max.spread_present",2.05089334360729,NA,NA,NA
