"","AA","AB","BA","BB"
"EV_absent",0.722277412737884,0.726782961123907,0.713349954053855,0.736128455271165
"EV_present",0.277722587262116,0.273217038876093,0.286650045946145,0.263871544728835
"SD_absent",0.010036503362036,0.0101554689349578,0.0124351787371157,0.0125191220255933
"SD_present",0.010036503362036,0.0101554689349578,0.0124351787371157,0.0125191220255933
"post.theta_absent",1437.59401873572,1398.59401873572,942.59401873572,911.59401873572
"post.theta_present",552.768677622647,525.768677622647,378.768677622647,326.768677622647
"opt.theta_absent",80.5940187357197,NA,NA,NA
"opt.theta_present",30.7686776226475,NA,NA,NA
"max.spread_absent",1.29089904782134,NA,NA,NA
"max.spread_present",1.29089904782134,NA,NA,NA
