"","AA","AB","BA","BB"
"EV_absent",0.748804241946321,0.765903072655205,0.769751936233529,0.796779759182565
"EV_present",0.251195758053679,0.234096927344796,0.230248063766471,0.203220240817434
"SD_absent",0.00787635296440875,0.00997762124202652,0.0139864505931899,0.0181782179968367
"SD_present",0.00787635296440875,0.00997762124202652,0.0139864505931899,0.0181782179968367
"post.theta_absent",2269.63119974238,1378.63119974238,696.631199742384,389.631199742384
"post.theta_present",761.376201929209,421.376201929209,208.376201929209,99.3762019292089
"opt.theta_absent",37.6311997423836,NA,NA,NA
"opt.theta_present",11.3762019292089,NA,NA,NA
"max.spread_absent",2.42163332977846,NA,NA,NA
"max.spread_present",2.42163332977846,NA,NA,NA
