"","AA","AB","BA","BB"
"EV_absent",0.604206519856213,0.59620715792144,0.569861939421447,0.598312350274744
"EV_present",0.395793480143787,0.40379284207856,0.430138060578553,0.401687649725256
"SD_absent",0.0130002988305465,0.017880881798202,0.00845733594088159,0.0128567272944159
"SD_present",0.0130002988305465,0.017880881798202,0.00845733594088159,0.0128567272944159
"post.theta_absent",854.33016941042,448.33016941042,1952.33016941042,869.33016941042
"post.theta_present",559.64028826311,303.64028826311,1473.64028826311,583.64028826311
"opt.theta_absent",150.33016941042,NA,NA,NA
"opt.theta_present",103.64028826311,NA,NA,NA
"max.spread_absent",2.21446951913036,NA,NA,NA
"max.spread_present",2.21446951913036,NA,NA,NA
