"","AA","AB","BA","BB"
"EV_absent",0.724050631290395,0.730172669874239,0.747994532917061,0.706456969058041
"EV_present",0.275949368709606,0.269827330125761,0.252005467082939,0.293543030941959
"SD_absent",0.00947964670206686,0.0146548273167953,0.0109178175161394,0.00972569518821401
"SD_present",0.00947964670206686,0.0146548273167953,0.0109178175161394,0.00972569518821402
"post.theta_absent",1609.11691310343,669.116913103432,1182.11691310343,1548.11691310343
"post.theta_present",613.264842486896,247.264842486896,398.264842486896,643.264842486896
"opt.theta_absent",160.116913103432,NA,NA,NA
"opt.theta_present",60.2648424868957,NA,NA,NA
"max.spread_absent",2.84085766782211,NA,NA,NA
"max.spread_present",2.84085766782212,NA,NA,NA
