"","AA","AB","BA","BB"
"EV_absent",0.768133650882682,0.797765387391848,0.736994370048515,0.762067129299106
"EV_present",0.231866349117318,0.202234612608152,0.263005629951485,0.237932870700894
"SD_absent",0.00724810275240946,0.0160256254797173,0.00965298527937444,0.021528917433638
"SD_present",0.00724810275240946,0.0160256254797173,0.00965298527937444,0.021528917433638
"post.theta_absent",2603.36164398491,500.361643984914,1532.36164398491,297.361643984914
"post.theta_present",785.842358460915,126.842358460915,546.842358460915,92.842358460915
"opt.theta_absent",87.3616439849145,NA,NA,NA
"opt.theta_present",26.842358460915,NA,NA,NA
"max.spread_absent",3.24834381585812,NA,NA,NA
"max.spread_present",3.24834381585813,NA,NA,NA
