"","0","1"
"EV_0",0.405789097052468,0.400031055656021
"EV_A",0.109900565153889,0.0995537552208873
"EV_B",0.180436213376177,0.184529224908401
"EV_C",0.0607995356874197,0.0693713909658895
"EV_AB",0.0710798918616149,0.0709413726867865
"EV_AC",0.0138904976068411,0.0108252071888675
"EV_BC",0.0760242795753268,0.0715777721536887
"EV_ABC",0.0820799196862639,0.0931702212194592
"SD_0",0.00948514897359797,0.00824433430655293
"SD_A",0.00604147366463426,0.00503850940179767
"SD_B",0.0074280854928745,0.00652801485300083
"SD_C",0.0046158633342336,0.00427585289424541
"SD_AB",0.00496347938458536,0.00432031794024622
"SD_AC",0.0022607114559377,0.00174140177742904
"SD_BC",0.00511953006161096,0.00433816641346477
"SD_ABC",0.00530205902083315,0.00489154219725769
"post.theta_0",1087.15377422248,1412.15377422248
"post.theta_A",294.43574276414,351.43574276414
"post.theta_B",483.408528723873,651.408528723873
"post.theta_C",162.888665993424,244.888665993424
"post.theta_AB",190.430874732666,250.430874732666
"post.theta_AC",37.214176055482,38.214176055482
"post.theta_BC",203.6774350844,252.6774350844
"post.theta_ABC",219.90116324703,328.90116324703
"opt.theta_0",36.1537742224775,NA
"opt.theta_A",9.43574276414011,NA
"opt.theta_B",16.4085287238733,NA
"opt.theta_C",5.88866599342378,NA
"opt.theta_AB",6.43087473266572,NA
"opt.theta_AC",1.21417605548198,NA
"opt.theta_BC",6.6774350843998,NA
"opt.theta_ABC",7.90116324702955,NA
"max.spread_0",0.458176388077832,NA
"max.spread_A",1.31525612033594,NA
"max.spread_B",0.413897273363165,NA
"max.spread_C",1.36234451720186,NA
"max.spread_AB",0.0210503613384272,NA
"max.spread_AC",1.07416625617909,NA
"max.spread_BC",0.662630679994757,NA
"max.spread_ABC",1.53737148232665,NA
