"","A","B"
"EV_0",0.40344066797643,0.39625411180068
"EV_O",0.100815640676512,0.125178200535557
"EV_M",0.184693557450028,0.169922680317208
"EV_T",0.0659759816926711,0.063825140536295
"EV_OM",0.0724089489330591,0.0615799973842437
"EV_OT",0.0118577730198442,0.0140806359095525
"EV_MT",0.07434012294403,0.0677949523302799
"EV_OMT",0.0864673073074254,0.101364281186184
"SD_0",0.00673685213983068,0.0168364340243277
"SD_O",0.00413455416479626,0.0113909587544345
"SD_M",0.00532876621132921,0.0129276944171359
"SD_T",0.00340888467665942,0.00841415495864349
"SD_OM",0.00355889154504366,0.00827474444739847
"SD_OT",0.00148645461042724,0.00405571997406127
"SD_MT",0.00360228204849214,0.0086534748119547
"SD_OMT",0.00385947623437178,0.010388920905873
"post.theta_0",2139.03089288893,334.030892888925
"post.theta_O",534.521645958726,105.521645958726
"post.theta_M",979.23996379623,143.23996379623
"post.theta_T",349.802769604631,53.8027696046312
"post.theta_OM",383.910178084671,51.9101780846714
"post.theta_OT",62.869573703446,11.869573703446
"post.theta_MT",394.149207505603,57.1492075056032
"post.theta_OMT",458.447192453858,85.447192453858
"opt.theta_0",23.0308928889252,NA
"opt.theta_O",6.52164595872634,NA
"opt.theta_M",10.2399637962296,NA
"opt.theta_T",3.80276960463121,NA
"opt.theta_OM",3.91017808467143,NA
"opt.theta_OT",0.869573703445966,NA
"opt.theta_MT",4.14920750560315,NA
"opt.theta_OMT",5.44719245385796,NA
"max.spread_0",0.396297604993576,NA
"max.spread_O",2.01042646286776,NA
"max.spread_M",1.05635415496317,NA
"max.spread_T",0.236916871551217,NA
"max.spread_OM",1.20219981681641,NA
"max.spread_OT",0.514606583880961,NA
"max.spread_MT",0.69827692377458,NA
"max.spread_OMT",1.34417017681819,NA
