"","A","B"
"EV_0",0.410323582151881,0.382395996053005
"EV_O",0.104146328950412,0.1036312078447
"EV_M",0.178013612947878,0.194982762050016
"EV_T",0.0643352184926394,0.0691868266981804
"EV_OM",0.0689624151757534,0.0762343626416152
"EV_OT",0.0108908785697607,0.015356211935013
"EV_MT",0.0712713829419685,0.0791792737213049
"EV_OMT",0.0920565807697071,0.0790333590561651
"SD_0",0.00740307372780725,0.0115712619402326
"SD_O",0.0045970844055385,0.00725700879125146
"SD_M",0.00575706159229695,0.00943343159145224
"SD_T",0.0036925508732955,0.00604243478344112
"SD_OM",0.0038135706267961,0.0063186644613821
"SD_OT",0.00156205210772662,0.00292786215861838
"SD_MT",0.00387207680003462,0.00642927948505313
"SD_OMT",0.00435109703231552,0.00642386159630605
"post.theta_0",1811.1073096346,674.107309634595
"post.theta_O",459.686417837626,182.686417837626
"post.theta_M",785.725631301955,343.725631301955
"post.theta_T",283.966092974469,121.966092974469
"post.theta_OM",304.389851443225,134.389851443225
"post.theta_OT",48.0707194126986,27.0707194126986
"post.theta_MT",314.581292006236,139.581292006236
"post.theta_OMT",406.324066137323,139.324066137323
"opt.theta_0",29.1073096345953,NA
"opt.theta_O",7.68641783762567,NA
"opt.theta_M",13.7256313019546,NA
"opt.theta_T",4.96609297446877,NA
"opt.theta_OM",5.38985144322484,NA
"opt.theta_OT",1.0707194126986,NA
"opt.theta_MT",5.58129200623618,NA
"opt.theta_OMT",6.32406613732312,NA
"max.spread_0",2.03304927879784,NA
"max.spread_O",0.0599637695742044,NA
"max.spread_M",1.53547539025776,NA
"max.spread_T",0.685121805286625,NA
"max.spread_OM",0.985318560306109,NA
"max.spread_OT",1.34559145836336,NA
"max.spread_MT",1.05364941869021,NA
"max.spread_OMT",1.6785228089984,NA
