"","A","B"
"EV_0",0.408419403412949,0.372214054741946
"EV_O",0.102384010506732,0.112255064160646
"EV_M",0.178997545909753,0.202022269230921
"EV_T",0.0639248885548205,0.0747203767931983
"EV_OM",0.0709965507706976,0.0710279633123338
"EV_OT",0.0119294805255733,0.0132598760904655
"EV_MT",0.0737613550750063,0.0720956916997899
"EV_OMT",0.0895867652444676,0.0824047039707005
"SD_0",0.00687706546627267,0.0149055350576121
"SD_O",0.00424135255193312,0.00973402517306177
"SD_M",0.00536338262629075,0.0123805631688261
"SD_T",0.00342242038276004,0.0081077699538549
"SD_OM",0.00359310826278506,0.00792066040626548
"SD_OT",0.0015189649474228,0.00352708981699645
"SD_MT",0.00365694902398315,0.00797538475971234
"SD_OMT",0.00399562041890245,0.008479045838243
"post.theta_0",2086.10093907806,391.10093907806
"post.theta_O",522.951110255453,117.951110255453
"post.theta_M",914.27328254886,212.27328254886
"post.theta_T",326.511837905601,78.5118379056015
"post.theta_OM",362.632063992089,74.6320639920888
"post.theta_OT",60.9327086792441,13.9327086792441
"post.theta_MT",376.753971049854,75.753971049854
"post.theta_OMT",457.58608318736,86.5860831873595
"opt.theta_0",25.10093907806,NA
"opt.theta_O",6.95111025545287,NA
"opt.theta_M",12.2732825488595,NA
"opt.theta_T",4.51183790560147,NA
"opt.theta_OM",4.63206399208877,NA
"opt.theta_OT",0.932708679244128,NA
"opt.theta_MT",4.75397104985396,NA
"opt.theta_OMT",5.5860831873595,NA
"max.spread_0",2.20555719790067,NA
"max.spread_O",0.929659444435791,NA
"max.spread_M",1.70649875530938,NA
"max.spread_T",1.22668957919959,NA
"max.spread_OM",0.00361165613923987,NA
"max.spread_OT",0.346433484402625,NA
"max.spread_MT",0.18984456803352,NA
"max.spread_OMT",0.766223524703576,NA
