"","A","B"
"EV_0",0.394894764192212,0.415331343963323
"EV_O",0.108712959135909,0.0960410008587972
"EV_M",0.180505320393376,0.186592804898507
"EV_T",0.0711759658428235,0.0564211283529856
"EV_OM",0.0731298052057223,0.0674085185016799
"EV_OT",0.011925472389973,0.0125175746321628
"EV_MT",0.0734573970093177,0.0735424614262565
"EV_OMT",0.0861983158306665,0.0921451673662881
"SD_0",0.00785995750820648,0.0102156541631106
"SD_O",0.00500510865190891,0.00610824751940498
"SD_M",0.00618418008446286,0.00807635450637614
"SD_T",0.0041342569191513,0.00478325913774159
"SD_OM",0.00418620721379428,0.00519776973013986
"SD_OT",0.00174540695567907,0.00230482897273549
"SD_MT",0.00419483148573787,0.00541122712337542
"SD_OMT",0.00451273075047793,0.00599595560783414
"post.theta_0",1527.00679077944,966.006790779438
"post.theta_O",420.378900656833,223.378900656833
"post.theta_M",697.990642079875,433.990642079875
"post.theta_T",275.228220370566,131.228220370566
"post.theta_OM",282.783463553751,156.783463553751
"post.theta_OT",46.1142536543678,29.1142536543678
"post.theta_MT",284.050218532681,171.050218532681
"post.theta_OMT",333.317697681884,214.317697681884
"opt.theta_0",33.0067907794385,NA
"opt.theta_O",8.37890065683262,NA
"opt.theta_M",14.9906420798751,NA
"opt.theta_T",5.22822037056601,NA
"opt.theta_OM",5.78346355375111,NA
"opt.theta_OT",1.11425365436776,NA
"opt.theta_MT",6.05021853268126,NA
"opt.theta_OMT",7.31769768188408,NA
"max.spread_0",1.5855248148457,NA
"max.spread_O",1.60466511755525,NA
"max.spread_M",0.598449236173998,NA
"max.spread_T",2.33377187667777,NA
"max.spread_OM",0.857260952709084,NA
"max.spread_OT",0.204798986562472,NA
"max.spread_MT",0.0124240570715034,NA
"max.spread_OMT",0.792447205808191,NA
