"","A","B"
"EV_0",0.390276411090859,0.408735370502269
"EV_O",0.103651312920124,0.104179933409164
"EV_M",0.198408556544536,0.174782967079578
"EV_T",0.0586723293671106,0.069266979274277
"EV_OM",0.0688443915616463,0.0721008265496381
"EV_OT",0.011375502302604,0.0125381004619539
"EV_MT",0.0770177373395037,0.0716873889481808
"EV_OMT",0.0917537588736161,0.0867084337749398
"SD_0",0.0105959109960519,0.00769962484805839
"SD_O",0.00662081646161752,0.00478475754369311
"SD_M",0.00866248283000099,0.00594827653067571
"SD_T",0.00510472945059204,0.00397679487232263
"SD_OM",0.00549959953284537,0.00405114716942186
"SD_OT",0.0023034915686413,0.00174274381989611
"SD_MT",0.00579132192591975,0.00404041533929729
"SD_OMT",0.0062704598121576,0.00440750586815617
"post.theta_0",826.791578762483,1665.79157876248
"post.theta_O",219.582916657708,424.582916657708
"post.theta_M",420.323952572303,712.323952572303
"post.theta_T",124.29597702694,282.29597702694
"post.theta_OM",145.845256261068,293.845256261068
"post.theta_OT",24.0987393568007,51.0987393568007
"post.theta_MT",163.160300848462,292.160300848462
"post.theta_OMT",194.378222717766,353.378222717766
"opt.theta_0",32.7915787624834,NA
"opt.theta_O",8.58291665770849,NA
"opt.theta_M",15.3239525723028,NA
"opt.theta_T",5.29597702693962,NA
"opt.theta_OM",5.8452562610679,NA
"opt.theta_OT",1.0987393568007,NA
"opt.theta_MT",6.16030084846187,NA
"opt.theta_OMT",7.3782227177658,NA
"max.spread_0",1.4092962417651,NA
"max.spread_O",0.0647122214234103,NA
"max.spread_M",2.24831727240147,NA
"max.spread_T",1.63726410623864,NA
"max.spread_OM",0.476740666444519,NA
"max.spread_OT",0.402496898206965,NA
"max.spread_MT",0.754849628525773,NA
"max.spread_OMT",0.658270716891816,NA
