"","A","B"
"EV_0",0.40391682859483,0.399777833043544
"EV_O",0.1042373807811,0.103725547421244
"EV_M",0.1811385600103,0.184995160888598
"EV_T",0.0610579173945024,0.0725265896273053
"EV_OM",0.0708466734168726,0.0713652014529478
"EV_OT",0.0146797896494351,0.00867400700457517
"EV_MT",0.0761560888411077,0.0697778162433832
"EV_OMT",0.0879667613118517,0.0891578443184032
"SD_0",0.00819284058243002,0.00980492356382812
"SD_O",0.00510203357887943,0.00610298382423513
"SD_M",0.00643051515103864,0.00777211324953474
"SD_T",0.00399784079731237,0.00519132483189371
"SD_OM",0.00428389210905016,0.00515281520112969
"SD_OT",0.0020080924887298,0.00185608120702111
"SD_MT",0.00442880660662623,0.00509953850511301
"SD_OMT",0.00472933125806025,0.00570400875363539
"post.theta_0",1448.44048759278,997.440487592778
"post.theta_O",373.793890116475,258.793890116475
"post.theta_M",649.560517436016,461.560517436016
"post.theta_T",218.95289668905,180.95289668905
"post.theta_OM",254.055248317462,178.055248317462
"post.theta_OT",52.6415345247126,21.6415345247126
"post.theta_MT",273.094742890306,174.094742890306
"post.theta_OMT",315.447660573474,222.447660573474
"opt.theta_0",9.44048759277842,NA
"opt.theta_O",2.79389011647457,NA
"opt.theta_M",4.56051743601613,NA
"opt.theta_T",1.95289668905004,NA
"opt.theta_OM",2.05524831746201,NA
"opt.theta_OT",0.641534524712565,NA
"opt.theta_MT",2.09474289030602,NA
"opt.theta_OMT",2.44766057347368,NA
"max.spread_0",0.32393373381509,NA
"max.spread_O",0.0643435628731909,NA
"max.spread_M",0.382315559627984,NA
"max.spread_T",1.75032874102584,NA
"max.spread_OM",0.0773808369177844,NA
"max.spread_OT",2.19630265728574,NA
"max.spread_MT",0.944337509288662,NA
"max.spread_OMT",0.160748451764816,NA
