"","A","B"
"EV_0",0.403308185429991,0.395055659047397
"EV_O",0.100745681427815,0.125849047903531
"EV_M",0.184720977096081,0.169417956081011
"EV_T",0.0660178122235858,0.0639988985582485
"EV_OM",0.0724821358774101,0.0615568541922051
"EV_OT",0.0118912041484356,0.0144020123909335
"EV_MT",0.0743959659453904,0.0678568157098276
"EV_OMT",0.0864380378512911,0.101862756116846
"SD_0",0.00676031290418078,0.01721231492797
"SD_O",0.00414789472234612,0.0116780576637945
"SD_M",0.00534791483099892,0.0132075851335285
"SD_T",0.00342194559534628,0.00861741206699417
"SD_OM",0.0035731386802751,0.00846242091122221
"SD_OT",0.00149378653304032,0.00419482574672679
"SD_MT",0.00361626753439338,0.00885503909388477
"SD_OMT",0.00387252913464549,0.0106495558425873
"post.theta_0",2123.28392971982,318.283929719822
"post.theta_O",530.392623041576,101.392623041576
"post.theta_M",972.494723190625,136.494723190625
"post.theta_T",347.5619013786,51.5619013785997
"post.theta_OM",381.594422975054,49.5944229750536
"post.theta_OT",62.6032487946462,11.6032487946463
"post.theta_MT",391.67010399111,54.67010399111
"post.theta_OMT",455.067621527406,82.0676215274061
"opt.theta_0",7.28392971982205,NA
"opt.theta_O",2.39262304157609,NA
"opt.theta_M",3.49472319062484,NA
"opt.theta_T",1.56190137859971,NA
"opt.theta_OM",1.59442297505359,NA
"opt.theta_OT",0.603248794646251,NA
"opt.theta_MT",1.67010399110998,NA
"opt.theta_OMT",2.06762152740606,NA
"max.spread_0",0.446267953413073,NA
"max.spread_O",2.02563746090543,NA
"max.spread_M",1.07395439484851,NA
"max.spread_T",0.217743671312748,NA
"max.spread_OM",1.18935957054717,NA
"max.spread_OT",0.563864190935277,NA
"max.spread_MT",0.683654407574043,NA
"max.spread_OMT",1.36118961309412,NA
