"","0","1"
"EV_0",0.401081992410924,0.402884492298318
"EV_A",0.101902123371766,0.105274994806818
"EV_B",0.181176025735582,0.183624344509172
"EV_C",0.071816842489239,0.0621974371628069
"EV_AB",0.0714209683188984,0.0708456624415418
"EV_AC",0.010938460590194,0.0129801086632672
"EV_BC",0.0781029356486994,0.0708670873388399
"EV_ABC",0.0835606514346968,0.0913258727792356
"SD_0",0.0103139861175446,0.00792628775301592
"SD_A",0.00636619191524171,0.00495972715661936
"SD_B",0.00810535263893875,0.00625691904690571
"SD_C",0.00543320723549079,0.00390294414991745
"SD_AB",0.00541936719900383,0.00414620667180925
"SD_AC",0.00218885017479494,0.00182916339051308
"SD_BC",0.00564678393010933,0.0041467857549341
"SD_ABC",0.00582343252305192,0.00465533974352596
"post.theta_0",905.291088674346,1542.29108867435
"post.theta_A",230.005549865072,403.005549865072
"post.theta_B",408.936438641739,702.936438641739
"post.theta_C",162.099393022927,238.099393022927
"post.theta_AB",161.205856625316,271.205856625316
"post.theta_AC",24.6894427660383,49.6894427660383
"post.theta_BC",176.287873751341,271.287873751341
"post.theta_ABC",188.606605479687,349.606605479687
"opt.theta_0",10.2910886743458,NA
"opt.theta_A",3.00554986507244,NA
"opt.theta_B",4.93643864173926,NA
"opt.theta_C",2.09939302292729,NA
"opt.theta_AB",2.20585662531583,NA
"opt.theta_AC",0.689442766038303,NA
"opt.theta_BC",2.28787375134136,NA
"opt.theta_ABC",2.60660547968737,NA
"max.spread_0",0.138570086452279,NA
"max.spread_A",0.417944172222558,NA
"max.spread_B",0.239107110213479,NA
"max.spread_C",1.4379326208241,NA
"max.spread_AB",0.0843120528688203,NA
"max.spread_AC",0.715733413614297,NA
"max.spread_BC",1.03282876432893,NA
"max.spread_ABC",1.04154197031165,NA
