"","A","B"
"EV_0",0.398246022896143,0.404379226354568
"EV_O",0.115377440660244,0.0978531257599866
"EV_M",0.176688384738793,0.185993657881864
"EV_T",0.06561223613898,0.0658364494471936
"EV_OM",0.0703224386235798,0.0714596838989408
"EV_OT",0.0152142218678191,0.0105992602384828
"EV_MT",0.0726759902894201,0.0740162901379614
"EV_OMT",0.0858632647850201,0.0898623062810034
"SD_0",0.0105564874125663,0.00782314781932111
"SD_O",0.00688927754927643,0.00473617973850121
"SD_M",0.00822470533165727,0.00620247698981692
"SD_T",0.0053393724557309,0.00395318245565242
"SD_OM",0.00551375369321417,0.00410613408970572
"SD_OT",0.00263955054345893,0.00163239814539298
"SD_MT",0.00559816193828936,0.00417318396203681
"SD_OMT",0.00604148227345661,0.0045587369224563
"post.theta_0",856.014250345804,1591.0142503458
"post.theta_O",247.999296152049,384.999296152049
"post.theta_M",379.784772505894,731.784772505894
"post.theta_T",141.03093540916,259.03093540916
"post.theta_OM",151.155331428259,281.155331428259
"post.theta_OT",32.7023748588,41.7023748588
"post.theta_MT",156.214198683814,291.214198683814
"post.theta_OMT",184.55972944232,353.55972944232
"opt.theta_0",10.0142503458041,NA
"opt.theta_O",2.99929615204918,NA
"opt.theta_M",4.78477250589444,NA
"opt.theta_T",2.03093540915999,NA
"opt.theta_OM",2.15533142825879,NA
"opt.theta_OT",0.702374858800015,NA
"opt.theta_MT",2.21419868381402,NA
"opt.theta_OMT",2.5597294423201,NA
"max.spread_0",0.466783304867497,NA
"max.spread_O",2.09615077729465,NA
"max.spread_M",0.903311771810738,NA
"max.spread_T",0.0337491000475329,NA
"max.spread_OM",0.165424158593329,NA
"max.spread_OT",1.48699999558739,NA
"max.spread_MT",0.19195212134271,NA
"max.spread_OMT",0.528382441041273,NA
