"","A","B"
"EV_0",0.405786521243086,0.398549267657706
"EV_O",0.107584246982166,0.100365807270821
"EV_M",0.181438226306351,0.184035084792109
"EV_T",0.0609392758561648,0.0707133521499263
"EV_OM",0.0697333487154519,0.0724241648109046
"EV_OT",0.0151283527799274,0.00922961531266519
"EV_MT",0.0739656579602288,0.0731100635240933
"EV_OMT",0.0854243701566245,0.091572644481775
"SD_0",0.00883952717616881,0.00894046162278163
"SD_O",0.00557785131597422,0.00548712399619235
"SD_M",0.00693743780906118,0.00707627923375264
"SD_T",0.00430630176919568,0.00468106280297098
"SD_OM",0.00458493268824759,0.00473298760832583
"SD_OT",0.00219732661683387,0.00174621299123974
"SD_MT",0.00471126557440652,0.00475358835600584
"SD_OMT",0.0050316414067912,0.00526680072255659
"post.theta_0",1251.81140726438,1194.81140726438
"post.theta_O",331.886794075022,300.886794075022
"post.theta_M",559.719038247814,551.719038247814
"post.theta_T",187.991657370699,211.991657370699
"post.theta_OM",215.120505041258,217.120505041258
"post.theta_OT",46.6694766623069,27.6694766623069
"post.theta_MT",228.176761753413,219.176761753413
"post.theta_OMT",263.525759044072,274.525759044072
"opt.theta_0",9.8114072643825,NA
"opt.theta_O",2.88679407502245,NA
"opt.theta_M",4.71903824781378,NA
"opt.theta_T",1.99165737069873,NA
"opt.theta_OM",2.12050504125761,NA
"opt.theta_OT",0.669476662306881,NA
"opt.theta_MT",2.17676175341325,NA
"opt.theta_OMT",2.52575904407167,NA
"max.spread_0",0.575639128573022,NA
"max.spread_O",0.92255715921488,NA
"max.spread_M",0.262052690699573,NA
"max.spread_T",1.53667179612217,NA
"max.spread_OM",0.408343086755358,NA
"max.spread_OT",2.10167108625268,NA
"max.spread_MT",0.127839390619966,NA
"max.spread_OMT",0.844079801546873,NA
