"","A","B"
"EV_0",0.396867053677227,0.41159772339998
"EV_O",0.10114242948221,0.109077116105024
"EV_M",0.184406190196975,0.179765400580876
"EV_T",0.0693339018168402,0.0594922264198099
"EV_OM",0.0706670788216037,0.0717451057344099
"EV_OT",0.0133674569361607,0.0102156214543284
"EV_MT",0.0792088674232071,0.0636193799033676
"EV_OMT",0.085007021645776,0.094487426402204
"SD_0",0.00787086420464076,0.0104522935555706
"SD_O",0.00485071211876591,0.00662101886000097
"SD_M",0.00623904442476633,0.00815567742613086
"SD_T",0.0040866094727242,0.00502399559725302
"SD_OM",0.00412275569670692,0.00548109977977009
"SD_OT",0.00184754695504507,0.00213570191804357
"SD_MT",0.00434471042208721,0.00518392689697198
"SD_OMT",0.0044867270558316,0.00621258289968441
"post.theta_0",1533.01319023602,912.013190236019
"post.theta_O",390.6917368224,241.6917368224
"post.theta_M",712.321971082673,398.321971082673
"post.theta_T",267.822146058491,131.822146058491
"post.theta_OM",272.971925850703,158.971925850703
"post.theta_OT",51.6356487976776,22.6356487976776
"post.theta_MT",305.967042157625,140.967042157625
"post.theta_OMT",328.364081216075,209.364081216075
"opt.theta_0",9.01319023601868,NA
"opt.theta_O",2.69173682240044,NA
"opt.theta_M",4.32197108267296,NA
"opt.theta_T",1.82214605849065,NA
"opt.theta_OM",1.97192585070272,NA
"opt.theta_OT",0.635648797677568,NA
"opt.theta_MT",1.96704215762519,NA
"opt.theta_OMT",2.36408121607513,NA
"max.spread_0",1.12582118033905,NA
"max.spread_O",0.966730035901784,NA
"max.spread_M",0.451947135696951,NA
"max.spread_T",1.51967289952967,NA
"max.spread_OM",0.157180235320133,NA
"max.spread_OT",1.11611169369265,NA
"max.spread_MT",2.3048260619559,NA
"max.spread_OMT",1.23711000502789,NA
