"","0","1"
"EV_0",0.40708622335246,0.392111350665748
"EV_A",0.106287927120496,0.09881094492577
"EV_B",0.185146741613412,0.177384430695611
"EV_C",0.0643429742675322,0.0687578324207517
"EV_AB",0.071919991838365,0.0689177056063804
"EV_AC",0.0110526985107438,0.0146124763581726
"EV_BC",0.0708338470437841,0.0794993660972546
"EV_ABC",0.0833295962532068,0.099905893230312
"SD_0",0.00752287589205424,0.0111249589833145
"SD_A",0.00471938822700719,0.00679973792925294
"SD_B",0.00594761247510276,0.00870438127358903
"SD_C",0.00375710931689982,0.00576599284765525
"SD_AB",0.00395605615197961,0.00577219685135976
"SD_AC",0.0016009053668355,0.00273430612052332
"SD_BC",0.00392836677337084,0.00616418370471834
"SD_ABC",0.00423205367702156,0.00683315397288863
"post.theta_0",1735.78014392798,754.780143927979
"post.theta_A",453.20244914131,190.20244914131
"post.theta_B",789.449554836137,341.449554836137
"post.theta_C",274.352829273106,132.352829273106
"post.theta_AB",306.660571208794,132.660571208794
"post.theta_AC",47.1277422600487,28.1277422600487
"post.theta_BC",302.02934455529,153.02934455529
"post.theta_ABC",355.310129108984,192.310129108985
"opt.theta_0",31.7801439279794,NA
"opt.theta_A",8.20244914131014,NA
"opt.theta_B",14.4495548361366,NA
"opt.theta_C",5.3528292731064,NA
"opt.theta_AB",5.6605712087943,NA
"opt.theta_AC",1.12774226004871,NA
"opt.theta_BC",6.02934455529017,NA
"opt.theta_ABC",7.31012910898451,NA
"max.spread_0",0.803035461585539,NA
"max.spread_A",0.649092829898631,NA
"max.spread_B",0.529778475949311,NA
"max.spread_C",0.463594538516203,NA
"max.spread_AB",0.308615147134228,NA
"max.spread_AC",0.821131300700998,NA
"max.spread_BC",0.858605470667022,NA
"max.spread_ABC",1.49805566253787,NA
