"","0","1"
"EV_0",0.41032378429363,0.38239653817488
"EV_A",0.104146228553483,0.103630957133652
"EV_B",0.178013520827406,0.194982509525479
"EV_C",0.0643352368421258,0.0691868663884067
"EV_AB",0.0689623511953995,0.0762341930737488
"EV_AC",0.0108909458297816,0.0153563745858941
"EV_BC",0.0712712619552881,0.0791789606006366
"EV_ABC",0.0920566705028849,0.0790336005173029
"SD_0",0.00740307237735271,0.0115712576108661
"SD_A",0.00459708126433917,0.00725699635355079
"SD_B",0.00575705894377438,0.00943342088623512
"SD_C",0.00369255041344531,0.00604243249582559
"SD_AB",0.00381356800742195,0.0063186539441372
"SD_AC",0.00156205647610344,0.00292787553664877
"SD_BC",0.00387207276929361,0.00642926372449196
"SD_ABC",0.00435109781824267,0.00642386642956567
"post.theta_0",1811.1091342013,674.109134201298
"post.theta_A",459.686211342923,182.686211342923
"post.theta_B",785.72562918053,343.72562918053
"post.theta_C",283.96632014974,121.96632014974
"post.theta_AB",304.389725740607,134.389725740607
"post.theta_AC",48.0710410349838,27.0710410349838
"post.theta_BC",314.580919932502,139.580919932502
"post.theta_ABC",406.324671378603,139.324671378603
"opt.theta_0",29.1091342012983,NA
"opt.theta_A",7.68621134292266,NA
"opt.theta_B",13.7256291805304,NA
"opt.theta_C",4.96632014974021,NA
"opt.theta_AB",5.38972574060652,NA
"opt.theta_AC",1.07104103498379,NA
"opt.theta_BC",5.58091993250208,NA
"opt.theta_ABC",6.3246713786026,NA
"max.spread_0",1.47184359796055,NA
"max.spread_A",0.0434678628266747,NA
"max.spread_B",1.11708049304339,NA
"max.spread_C",0.498370628022416,NA
"max.spread_AB",0.717694688599897,NA
"max.spread_AC",0.994542621899381,NA
"max.spread_BC",0.767638126384756,NA
"max.spread_ABC",1.20864159602486,NA
