"","0","1"
"EV_0",0.408587072619607,0.395240805362679
"EV_A",0.101606753575769,0.106853016230006
"EV_B",0.179665687093192,0.186472965783215
"EV_C",0.0661525420648467,0.0651445620053586
"EV_AB",0.0701589728562285,0.072002462179619
"EV_AC",0.0136947086955121,0.0102816422080793
"EV_BC",0.072304099074415,0.0748980693380376
"EV_ABC",0.0878301640204295,0.0891064768930052
"SD_0",0.00845248767958048,0.00915596451698532
"SD_A",0.00519506942722208,0.00578544586292704
"SD_B",0.00660122960883865,0.00729417043840793
"SD_C",0.00427373970989763,0.00462160991995118
"SD_AB",0.00439180240552968,0.00484093285589449
"SD_AC",0.00199838384280095,0.00188916125257085
"SD_BC",0.00445329133048373,0.00492960450986481
"SD_ABC",0.00486694601627766,0.00533544216454506
"post.theta_0",1381.53706565562,1126.53706565562
"post.theta_A",343.558339440046,304.558339440046
"post.theta_B",607.495495523954,531.495495523954
"post.theta_C",223.678610935922,185.678610935922
"post.theta_AB",237.22537491891,205.22537491891
"post.theta_AC",46.3053016947028,29.3053016947028
"post.theta_BC",244.478593582765,213.478593582765
"post.theta_ABC",296.97617768197,253.97617768197
"opt.theta_0",40.5370656556227,NA
"opt.theta_A",10.5583394400455,NA
"opt.theta_B",18.4954955239543,NA
"opt.theta_C",6.67861093592215,NA
"opt.theta_AB",7.22537491891042,NA
"opt.theta_AC",1.30530169470281,NA
"opt.theta_BC",7.47859358276537,NA
"opt.theta_ABC",8.97617768196957,NA
"max.spread_0",0.757946644483081,NA
"max.spread_A",0.477779276801703,NA
"max.spread_B",0.489894401519682,NA
"max.spread_C",0.113315395283144,NA
"max.spread_AB",0.199668816574101,NA
"max.spread_AC",0.877949040770269,NA
"max.spread_BC",0.276457322745496,NA
"max.spread_ABC",0.125099422797373,NA
