"","0","1"
"EV_0",0.402764844741415,0.400634742942459
"EV_A",0.102550043253446,0.111069186193002
"EV_B",0.183471300322733,0.179193256008035
"EV_C",0.0659072842649698,0.064850844421702
"EV_AB",0.071776666676998,0.0671934975169379
"EV_AC",0.0119998585009017,0.0130931568412353
"EV_BC",0.0739550428451825,0.0713213546338404
"EV_ABC",0.0875749593943537,0.0926439614427889
"SD_0",0.00587380269887097,0.009017525524335
"SD_A",0.00363323876171069,0.00578226603106605
"SD_B",0.00463543708539733,0.00705746254588688
"SD_C",0.00297154694359385,0.004531745939405
"SD_AB",0.00309128308846067,0.0046070900352002
"SD_AC",0.00130402963253734,0.00209183564377875
"SD_BC",0.00313415756735368,0.00473597951063229
"SD_ABC",0.00338539590493536,0.005335372169311
"post.theta_0",2807.67911657536,1182.67911657536
"post.theta_A",714.877722338101,327.877722338101
"post.theta_B",1278.98088706771,528.980887067709
"post.theta_C",459.440559614273,191.440559614273
"post.theta_AB",500.356102866382,198.356102866382
"post.theta_AC",83.6511740156266,38.6511740156266
"post.theta_BC",515.541592253828,210.541592253828
"post.theta_ABC",610.486212579762,273.486212579762
"opt.theta_0",781.679116575363,NA
"opt.theta_A",207.877722338101,NA
"opt.theta_B",352.980887067709,NA
"opt.theta_C",127.440559614273,NA
"opt.theta_AB",135.356102866382,NA
"opt.theta_AC",24.6511740156266,NA
"opt.theta_BC",141.541592253828,NA
"opt.theta_ABC",175.486212579762,NA
"max.spread_0",0.197930897846117,NA
"max.spread_A",1.24749783682532,NA
"max.spread_B",0.506658783582935,NA
"max.spread_C",0.194946915000168,NA
"max.spread_AB",0.82608044086723,NA
"max.spread_AC",0.443527109138295,NA
"max.spread_BC",0.463749051354431,NA
"max.spread_ABC",0.802210928695274,NA
