"","0","1"
"EV_0",0.401103638670195,0.404511031133508
"EV_A",0.103796468296405,0.104384952360582
"EV_B",0.183511821947494,0.181443851656486
"EV_C",0.0661068505405274,0.0650756034863326
"EV_AB",0.0722088048558775,0.0689880815622191
"EV_AC",0.0121878276749038,0.0121879995720668
"EV_BC",0.0728485390878887,0.074637957064188
"EV_ABC",0.0882360489267085,0.0887705231646177
"SD_0",0.00615071604623399,0.00709087935497625
"SD_A",0.00382750841008294,0.00441751151988238
"SD_B",0.00485767565445356,0.00556792551492587
"SD_C",0.00311812390001629,0.00356365292085925
"SD_AB",0.00324819236773749,0.00366153091726343
"SD_AC",0.0013769617583681,0.00158526333562768
"SD_BC",0.00326142432955249,0.00379694025642674
"SD_ABC",0.00355947358841565,0.00410909631382497
"post.theta_0",2546.50844885712,1937.50844885712
"post.theta_A",658.97827393099,499.97827393099
"post.theta_B",1165.07146782257,869.071467822569
"post.theta_C",419.696151316158,311.696151316158
"post.theta_AB",458.435959985298,330.435959985298
"post.theta_AC",77.3775233010951,58.3775233010951
"post.theta_BC",462.497475438613,357.497475438613
"post.theta_ABC",560.188994621378,425.188994621378
"opt.theta_0",1028.50844885712,NA
"opt.theta_A",265.97827393099,NA
"opt.theta_B",466.071467822569,NA
"opt.theta_C",167.696151316158,NA
"opt.theta_AB",180.435959985298,NA
"opt.theta_AC",31.3775233010951,NA
"opt.theta_BC",188.497475438613,NA
"opt.theta_ABC",226.188994621378,NA
"max.spread_0",0.362998583049467,NA
"max.spread_A",0.100681319103312,NA
"max.spread_B",0.279867660494158,NA
"max.spread_C",0.217782239523582,NA
"max.spread_AB",0.658009404980403,NA
"max.spread_AC",8.18642987549967e-05,NA
"max.spread_BC",0.357500246156095,NA
"max.spread_ABC",0.0983138688282279,NA
