"","0","1"
"EV_0",0.405834595762095,0.398225127154051
"EV_A",0.102649240020142,0.105636395333554
"EV_B",0.180979740512464,0.18485176779528
"EV_C",0.0659899724553763,0.0654199004348298
"EV_AB",0.0705532050362698,0.0716057195333794
"EV_AC",0.0130439898424338,0.0111034453503845
"EV_BC",0.0728434701093129,0.0743228908421977
"EV_ABC",0.0881057862619057,0.088834753556324
"SD_0",0.00649099037234119,0.00679372694084426
"SD_A",0.00401182276129306,0.00426570264378495
"SD_B",0.00508914768760859,0.005387122264727
"SD_C",0.00328168955173709,0.00343154688219985
"SD_AB",0.00338495883965016,0.00357821817527891
"SD_AC",0.00149981217720348,0.00145422311745929
"SD_BC",0.00343522031420527,0.00364013752407166
"SD_ABC",0.00374677140414137,0.00394836012157769
"post.theta_0",2322.24305540723,2067.24305540723
"post.theta_A",587.373494691772,548.373494691772
"post.theta_B",1035.59171633767,959.591716337671
"post.theta_C",377.603971818228,339.603971818228
"post.theta_AB",403.715435162768,371.715435162768
"post.theta_AC",74.639557944812,57.639557944812
"post.theta_BC",416.820656394409,385.820656394409
"post.theta_ABC",504.15379177739,461.15379177739
"opt.theta_0",981.243055407231,NA
"opt.theta_A",254.373494691772,NA
"opt.theta_B",446.591716337671,NA
"opt.theta_C",160.603971818228,NA
"opt.theta_AB",173.715435162768,NA
"opt.theta_AC",29.639557944812,NA
"opt.theta_BC",179.820656394409,NA
"opt.theta_ABC",216.15379177739,NA
"max.spread_0",0.809849415479759,NA
"max.spread_A",0.510115010120136,NA
"max.spread_B",0.522481750849414,NA
"max.spread_C",0.120061731740419,NA
"max.spread_AB",0.21368224703467,NA
"max.spread_AC",0.928904806918069,NA
"max.spread_BC",0.295580801042299,NA
"max.spread_ABC",0.133923879703465,NA
