"","Mean","SD","MCSE","ESS","LB","Median","UB"
"u0",2.76355104842748,0.359997191216155,0.00155125403779171,103459.973063895,2.00162405515463,2.7839183253091,3.41104111397883
"u1",1.22638281058589,0.35235885015573,0.00144556137863343,113484.643631395,0.480254838378711,1.24630278360068,1.86140958411894
"u2",0.670190036999923,0.350671857192144,0.00129830353096701,136419.267704899,-0.0695619189302043,0.688924990616566,1.3029363744319
"u3",-0.538367267443797,0.373960975419809,0.000887065327874557,300486.619465822,-1.33046584960541,-0.517553453340472,0.136018103640198
"Deviance",6654.78210092401,2.86617478808308,0.00673436052225376,304675.12759857,6651.21780711768,6654.13019852003,6662.02080478175
"",1,0,0,2.22044604925031e-16,1,1,1
"",-3326.95470907059,NA,NA,NA,NA,NA,NA
"u0",2.76355104842748,0.359997191216155,0.00155125403779171,103459.973063895,2.00162405515463,2.7839183253091,3.41104111397883
"u1",1.22638281058589,0.35235885015573,0.00144556137863343,113484.643631395,0.480254838378711,1.24630278360068,1.86140958411894
"u2",0.670190036999923,0.350671857192144,0.00129830353096701,136419.267704899,-0.0695619189302043,0.688924990616566,1.3029363744319
"u3",-0.538367267443797,0.373960975419809,0.000887065327874557,300486.619465822,-1.33046584960541,-0.517553453340472,0.136018103640198
"Deviance",6654.78210092401,2.86617478808308,0.00673436052225376,304675.12759857,6651.21780711768,6654.13019852003,6662.02080478175
"",1,0,0,2.22044604925031e-16,1,1,1
