"","AA","AB","BA","BB"
"EV_absent",0.594390100612749,0.585114605008772,0.583496385776784,0.552328931693815
"EV_present",0.405609899387251,0.414885394991228,0.416503614223216,0.447671068306185
"SD_absent",0.0098746773124977,0.0153782702457038,0.0110109979735566,0.0175862112996835
"SD_present",0.0098746773124977,0.0153782702457038,0.0110109979735566,0.0175862112996835
"post.theta_absent",1469.02832639256,600.028326392555,1169.02832639256,441.028326392555
"post.theta_present",1002.4602210751,425.460221075098,834.460221075098,357.460221075098
"opt.theta_absent",39.0283263925553,NA,NA,NA
"opt.theta_present",28.4602210750981,NA,NA,NA
"max.spread_absent",2.08544799391776,NA,NA,NA
"max.spread_present",2.08544799391776,NA,NA,NA
