"","AA","AB","BA","BB"
"EV_absent",0.741672735970516,0.752505855324033,0.714055945591893,0.71380162795938
"EV_present",0.258327264029484,0.247494144675967,0.285944054408107,0.28619837204062
"SD_absent",0.0121951065985965,0.0151513438320579,0.0088240275532272,0.011516540827441
"SD_present",0.0121951065985965,0.0151513438320579,0.0088240275532272,0.011516540827441
"post.theta_absent",954.742883186496,609.742883186496,1871.7428831865,1098.7428831865
"post.theta_present",332.540357631528,200.540357631528,749.540357631528,440.540357631528
"opt.theta_absent",41.7428831864958,NA,NA,NA
"opt.theta_present",15.5403576315277,NA,NA,NA
"max.spread_absent",2.19292887209254,NA,NA,NA
"max.spread_present",2.19292887209254,NA,NA,NA
