"","AA","AB","BA","BB"
"EV_absent",0.768389916426266,0.777781033809717,0.762763855531644,0.737899681526035
"EV_present",0.231610083573734,0.222218966190283,0.237236144468356,0.262100318473965
"SD_absent",0.0116896069057528,0.0106029801840366,0.0105643416504491,0.0102373834572931
"SD_present",0.0116896069057528,0.0106029801840366,0.0105643416504491,0.0102373834572931
"post.theta_absent",999.970927999401,1194.9709279994,1235.9709279994,1360.9709279994
"post.theta_present",301.413833334016,341.413833334016,384.413833334016,483.413833334016
"opt.theta_absent",51.9709279994009,NA,NA,NA
"opt.theta_present",16.4138333340164,NA,NA,NA
"max.spread_absent",2.70590636872313,NA,NA,NA
"max.spread_present",2.70590636872313,NA,NA,NA
