"","AA","AB","BA","BB"
"EV_absent",0.620487884337015,0.564640710003857,0.568735741058425,0.591606059296749
"EV_present",0.379512115662985,0.435359289996143,0.431264258941574,0.408393940703251
"SD_absent",0.0160471022577047,0.0131690447631209,0.0130083904070199,0.00994788963049278
"SD_present",0.0160471022577047,0.0131690447631209,0.0130083904070199,0.00994788963049278
"post.theta_absent",566.792165701131,799.792165701131,823.792165701131,1443.79216570113
"post.theta_present",346.669934057259,616.669934057259,624.669934057259,996.669934057259
"opt.theta_absent",27.792165701131,NA,NA,NA
"opt.theta_present",19.6699340572591,NA,NA,NA
"max.spread_absent",2.69027212376368,NA,NA,NA
"max.spread_present",2.69027212376368,NA,NA,NA
