"","AA","AB","BA","BB"
"EV_absent",0.715579006006633,0.729772458851535,0.737094575585991,0.688445697508468
"EV_present",0.284420993993367,0.270227541148465,0.262905424414009,0.311554302491532
"SD_absent",0.0105382098747832,0.0125519927249491,0.00879776523523242,0.0180866141048662
"SD_present",0.0105382098747833,0.0125519927249491,0.00879776523523242,0.0180866141048662
"post.theta_absent",1310.70847091564,912.70847091564,1844.70847091564,450.70847091564
"post.theta_present",520.966941461523,337.966941461523,657.966941461523,203.966941461523
"opt.theta_absent",37.7084709156401,NA,NA,NA
"opt.theta_present",14.9669414615229,NA,NA,NA
"max.spread_absent",2.41879720025764,NA,NA,NA
"max.spread_present",2.41879720025764,NA,NA,NA
