"","AA","AB","BA","BB"
"EV_absent",0.752503753571324,0.757110035917187,0.792305452239116,0.769363718050856
"EV_present",0.247496246428676,0.242889964082813,0.207694547760884,0.230636281949144
"SD_absent",0.00953124231524342,0.00810828695676511,0.0167131671307355,0.0147003481143995
"SD_present",0.00953124231524342,0.00810828695676511,0.0167131671307355,0.0147003481143995
"post.theta_absent",1541.96687941225,2116.96687941225,465.966879412252,630.966879412252
"post.theta_present",507.148320471068,679.148320471068,122.148320471068,189.148320471068
"opt.theta_absent",42.9668794122516,NA,NA,NA
"opt.theta_present",13.148320471068,NA,NA,NA
"max.spread_absent",2.06870391949927,NA,NA,NA
"max.spread_present",2.06870391949927,NA,NA,NA
